feature	redundant_neighbors	num_redundant_neighbors
TOX2	PDCD1,ITM2A,TIGIT,TOX,C9orf16,SH2D1A,COTL1,CPM,AC004585.1,GAPDH,AC055839.2,PPP1CC,IGFBP4,SRGN,CXCL13,CORO1B,ICA1,PTPN11,KIAA1324	19
CXXC5	PEG10,CD79A,POU3F1,LINC01480,ASCL2,RTP5,SMCO4	7
LIMS2	PVALB,GFOD1,ZNF703,SCGB3A1,AC012645.3,ID3	6
VIM	ANXA1,EMP3,ARL4C,TXNIP,CCR7	5
TBC1D4	MAF,LIMS1	2
HLA-A	CXCR5,ZNRF1	2
gex_cluster9	RNF19A,GAB2	2
TPT1	TMSB10,RPS12	2
PFN1	ACTB	1
SAT1	H2AFZ	1
MALAT1	AAK1	1
