feature	redundant_neighbors	num_redundant_neighbors
TOX2	PDCD1,ITM2A,TIGIT,TOX,SH2D1A,TBC1D4,ICA1,HLA-A,MAF,LIMS1,CXCR5,ZNRF1,H2AFZ	13
CPM	AC004585.1,PPP1CC,IGFBP4,CXCL13,PTPN11,FZD3,KIAA1324	7
C9orf16	PFN1,COTL1,GAPDH,CORO1B,NPDC1,SLC25A5,YWHAQ	7
VIM	TPT1,TMSB10,RPS12,EMP3,CCR7	5
SRGN	RNF19A,SAT1,GNAS	3
SCGB3A1	AC012645.3,ID3,SMCO4	3
GFOD1	PEG10,LINC01480	2
LIMS2	PVALB,AC055839.2	2
CXXC5	CD79A,RTP5	2
ITM2B	TXNIP,AAK1	2
ZNF703	POU3F1	1
GPR183	ARL4C	1
