"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL17",0.0097563570953089,-0.253843091043302,1,1,1
"RPS3",0.00981396778067529,-0.112199381550689,1,1,1
"SYNCRIP",0.00996472997670548,0.451841732527183,0.5,0.442,1
"AC245407.2",0.0106737687307697,-1.13353529902843,0.064,0.25,1
"SLC30A5",0.0107071474983251,0.98617422742535,0.256,0.096,1
"ACBD6",0.0107788799365444,-0.381877744678747,0.141,0.308,1
"FEM1B",0.0109104918488398,2.0993128862956,0.282,0.058,1
"SLC25A11",0.0110111168131566,-0.641954031857281,0.218,0.385,1
"SRP19",0.0110582220323423,0.533779254514816,0.436,0.346,1
"ZFY",0.0110742134175257,-0.865424885733896,0.077,0.135,1
"FDFT1",0.011188407991785,0.713243989854461,0.474,0.423,1
"ARRDC3",0.0114431583847746,1.04583443429379,0.128,0.077,1
"CIZ1",0.0114524541567622,-0.907344024501332,0.128,0.327,1
"ZNF33A",0.0114781337603271,-1.27663097110518,0.09,0.327,1
"NOTCH2NLB",0.0114903819729051,-1.36739360545011,0,0.096,1
"MTX2",0.0116221871903844,0.302192354550175,0.244,0.25,1
"ATP5MPL",0.0116980335886184,0.627102197582222,0.679,0.615,1
"CARD8",0.0117478698196813,-0.166093970003054,0.282,0.442,1
"MIR155HG",0.0118916264429719,-1.59738756786202,0.026,0.154,1
"FAM227B",0.0120583431913929,-1.16983712973004,0,0.077,1
"WDR34",0.0120583431913929,-1.09503391247996,0,0.077,1
"SWAP70",0.012058343191393,-1.22281559756693,0,0.077,1
"TRBV28",0.0120583431913931,-3.17026546335705,0,0.077,1
"EEF1A1",0.0121051093633069,-0.052851715712718,1,1,1
"CYP4V2",0.0122375667823347,-1.03546868709144,0.154,0.327,1
"ABCB8",0.0123235756368471,0.657065977131527,0.141,0.096,1
"DHX36",0.0124045566557584,0.665253796487405,0.436,0.288,1
"RPS2",0.0127981554477838,-0.243194117118644,0.987,1,1
"VOPP1",0.0129385208450649,0.41209961401697,0.667,0.538,1
"XIST",0.0129480913875324,-0.569906700471565,0.231,0.346,1
"HDHD3",0.0130160186756812,0.0681693883595186,0.231,0.135,1
"EGLN1",0.0131079427360969,1.27739514124278,0.256,0.096,1
"METTL25",0.0131687720360399,1.00630484166919,0.128,0.038,1
"TBC1D4",0.013212383132751,0.567243916740249,0.654,0.5,1
"S100A6",0.0133467688479575,-0.76428658384767,0.5,0.673,1
"OAT",0.0134718233465019,-0.795694526657523,0.115,0.269,1
"TXNIP",0.0136639148260636,-0.42220432357502,0.436,0.692,1
"IL4R",0.0138120097152632,-0.814306230920419,0.038,0.115,1
"THOC3",0.0140654236452454,0.324727498927027,0.282,0.154,1
"CD52",0.014099360582606,-0.367342755272026,0.949,1,1
"DNAL4",0.0143641510727026,0.989690802091818,0.141,0.038,1
"RPF2",0.0143641510727027,1.33454713528918,0.141,0.038,1
"VAMP1",0.0145009638937129,-1.61080563030862,0.026,0.212,1
"PRPF38B",0.0146403904984242,-0.790680321623619,0.679,0.808,1
"BTBD1",0.0146600860092409,0.161652468565349,0.372,0.269,1
"TMED4",0.0148128725521335,0.421516365818015,0.526,0.385,1
"ARPC4",0.0149629708350758,0.176819812378895,0.654,0.712,1
"BRI3",0.0152366030228994,-0.31312342117396,0.333,0.519,1
"PRKCH",0.0153427276854886,0.0918639445251257,0.885,0.692,1
"BTNL9",0.0154273807864378,-0.7992498105496,0,0.058,1
"ANKEF1",0.0154273807864378,-1.55839950389528,0,0.058,1
"TBC1D8",0.0154273807864378,-0.882196334717535,0,0.058,1
"SNPH",0.0154273807864381,-1.23886737224714,0,0.058,1
"PIF1",0.0156648905791983,-1.33243582950732,0.026,0.135,1
"SLAMF6",0.0157981819188745,0.00654011425984891,0.321,0.423,1
"MDC1",0.0160036279939627,0.483695349386062,0.141,0.077,1
"ZSWIM6",0.016122076053458,1.42730695784579,0.115,0,1
"CPM",0.0163681440960047,0.479978454446884,0.487,0.308,1
"ZNF414",0.0165527475389733,0.705393918631043,0.295,0.192,1
"ZFYVE28",0.0165584727288845,-1.04846828953834,0.038,0.154,1
"MRTO4",0.0166829436232616,-0.148840369880232,0.128,0.154,1
"CRTC1",0.0171480171499452,0.0934006225667137,0.141,0.115,1
"SAT2",0.0171752720611902,-0.960866910291518,0.231,0.346,1
"SLC38A1",0.0173546014932826,-0.453213894246934,0.564,0.731,1
"ACOX3",0.0174885340001238,0.9974694063619,0.128,0.038,1
"TADA2B",0.0176516360980276,1.61770179381515,0.231,0.058,1
"ZNF615",0.0178686696395647,-0.963470208224416,0.013,0.077,1
"RPL4",0.017895303297434,-0.181516420613418,0.987,0.981,1
"ATP8B2",0.0179116095354572,-0.652005550969408,0.051,0.115,1
"SNRNP200",0.0180781665440596,-0.322557103301421,0.397,0.404,1
"IFI16",0.0182077569048872,0.116553869805974,0.744,0.577,1
"TPRKB",0.0182662256984647,1.08690547160314,0.359,0.173,1
"TSTD2",0.0183021827402647,1.55635232465762,0.128,0,1
"POU3F1",0.018346280817623,0.97378132534089,0.462,0.308,1
"KLHL9",0.0184348385829489,0.478106787150432,0.167,0.077,1
"HNRNPD",0.0184864199814735,0.0837297639833274,0.769,0.788,1
"PIGN",0.0185270900705658,0.715230737601737,0.154,0.096,1
"STK17A",0.0185739621593132,0.531669167143295,0.923,0.885,1
"FLNA",0.0186119948433883,-0.532714479217596,0.115,0.269,1
"MRPS14",0.0191140428066014,0.844486903256886,0.154,0.115,1
"GSPT1",0.0191932824357795,-0.854690315148513,0.359,0.577,1
"POLR1A",0.0193931862415765,1.07630456484545,0.141,0.038,1
