"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SKIL.1",7.53558447588197e-36,-0.357009562238048,0.245,0.305,2.75809927401756e-31,"3","SKIL"
"TMBIM1",1.37677033315905e-35,-0.282005531771167,0.13,0.198,5.03911709639543e-31,"3","TMBIM1"
"TGFBR2.1",3.8856408561282e-35,-0.345372950668783,0.558,0.553,1.42218340975148e-30,"3","TGFBR2"
"BTG2.2",5.09219485797606e-35,-0.45085062107636,0.691,0.656,1.86379423996782e-30,"3","BTG2"
"IDS.2",6.33257455885594e-35,-0.382385665701357,0.613,0.584,2.31778561428686e-30,"3","IDS"
"TMEM173",7.06449695446522e-35,-0.338357550249795,0.234,0.293,2.58567653030382e-30,"3","TMEM173"
"BIN1",4.26800129253037e-34,-0.303955945309759,0.474,0.48,1.56213115307904e-29,"3","BIN1"
"SC5D",4.88929855238304e-34,-0.282276178040583,0.103,0.166,1.78953216315771e-29,"3","SC5D"
"ERAP2",7.39154045205649e-34,-0.360463602434567,0.237,0.297,2.70537772085719e-29,"3","ERAP2"
"SSBP2.1",2.87397550485494e-33,-0.320852799408335,0.163,0.226,1.05190377453196e-28,"3","SSBP2"
"EIF2A",4.33816094893147e-33,-0.348449299558974,0.402,0.417,1.58781028891841e-28,"3","EIF2A"
"STK38",5.05937154250212e-33,-0.362740065219515,0.23,0.283,1.8517805782712e-28,"3","STK38"
"CLK1",9.16629818235292e-33,-0.32320407261852,0.508,0.507,3.35495679772299e-28,"3","CLK1"
"PIM1.1",7.89818886221425e-32,-0.267120778295643,0.285,0.348,2.89081610545904e-27,"3","PIM1"
"BNIP3",1.93522648203712e-31,-0.283379928496589,0.136,0.197,7.08312244690406e-27,"3","BNIP3"
"FAM177A1.1",3.84298408751425e-31,-0.375866228582264,0.327,0.361,1.40657060587109e-26,"3","FAM177A1"
"KLRB1.3",4.84199647673985e-31,-0.546426086667973,0.065,0.121,1.77221913045155e-26,"3","KLRB1"
"PRDX6",1.06089949405483e-30,-0.322234850527923,0.402,0.417,3.8829982381901e-26,"3","PRDX6"
"NR4A1.2",1.68462100501364e-30,-0.348724565445589,0.093,0.155,6.16588134045042e-26,"3","NR4A1"
"CCDC59.1",1.76593195616907e-30,-0.343137196287008,0.352,0.382,6.46348755277441e-26,"3","CCDC59"
"GBP5",2.0778414131671e-30,-0.260786442838032,0.074,0.133,7.60510735633291e-26,"3","GBP5"
"ABCC1",9.83327476187866e-30,-0.290063928784441,0.154,0.214,3.59907689559521e-25,"3","ABCC1"
"ZNF276",2.06772396031556e-29,-0.322308739419918,0.208,0.261,7.56807646715099e-25,"3","ZNF276"
"MED10",2.93093461687483e-29,-0.301831886085928,0.456,0.454,1.07275137912236e-24,"3","MED10"
"GRAP2",3.41259399053346e-29,-0.33002660274211,0.204,0.258,1.24904352647515e-24,"3","GRAP2"
"PHF20",3.89565134469251e-29,-0.314782806601164,0.333,0.368,1.42584734867091e-24,"3","PHF20"
"RAP1B",5.85093529314625e-29,-0.253862628841811,0.68,0.619,2.14150082664446e-24,"3","RAP1B"
"SOD2",9.07529554098365e-28,-0.329314600667174,0.256,0.3,3.32164892095543e-23,"3","SOD2"
"CYCS.2",1.46138524406905e-27,-0.364080653195024,0.456,0.452,5.34881613181712e-23,"3","CYCS"
"BEX2",2.5153364796709e-27,-0.280892493904995,0.181,0.236,9.20638304924348e-23,"3","BEX2"
"CSGALNACT2",7.83740360575324e-27,-0.282358407518518,0.149,0.202,2.86856809374174e-22,"3","CSGALNACT2"
"NAAA",1.01992293477875e-26,-0.292232118188709,0.209,0.26,3.73301993358369e-22,"3","NAAA"
"NAF1.1",5.59036724324179e-26,-0.297298196229817,0.131,0.183,2.04613031469893e-21,"3","NAF1"
"PCED1B-AS1.1",8.44394666063024e-26,-0.278127139818821,0.835,0.775,3.09056891725728e-21,"3","PCED1B-AS1"
"VDAC3",5.10628497507607e-25,-0.270393309047325,0.175,0.225,1.86895136372759e-20,"3","VDAC3"
"TRBV20-1.2",8.26254070514605e-25,1.16324642403864,0.153,0.109,3.0241725234905e-20,"3","TRBV20-1"
"RASGRP1",3.36427732203056e-24,-0.294478822475029,0.239,0.286,1.23135914263641e-19,"3","RASGRP1"
"SNHG32",3.77605901979144e-24,-0.305972050658374,0.398,0.405,1.38207536183387e-19,"3","SNHG32"
"TRMT10C",4.89192320396865e-24,-0.297383449533373,0.201,0.245,1.79049281188457e-19,"3","TRMT10C"
"SPTBN1",8.36688387085745e-24,-0.319837820508238,0.246,0.289,3.06236316557253e-19,"3","SPTBN1"
"PTPN4",1.96476313648391e-23,-0.269355126609913,0.15,0.199,7.19122955584478e-19,"3","PTPN4"
"PIM3.2",2.04548304721706e-22,-0.329175967685925,0.22,0.263,7.48667250111915e-18,"3","PIM3"
"TSPYL1.1",2.34021724332087e-22,-0.355443625631795,0.398,0.402,8.56542913227873e-18,"3","TSPYL1"
"TARSL2",2.61944562764301e-22,-0.255463528439339,0.154,0.205,9.58743294173617e-18,"3","TARSL2"
"USP3",5.07528607709419e-22,-0.296067371441836,0.495,0.482,1.85760545707725e-17,"3","USP3"
"MLLT3",5.42880772981656e-22,-0.285658976084476,0.249,0.29,1.98699791719016e-17,"3","MLLT3"
"IER5.2",6.61185571335572e-22,-0.413279784185613,0.277,0.31,2.42000530964533e-17,"3","IER5"
"ATXN7",6.62544615665162e-22,-0.298153880068561,0.266,0.301,2.42497954779606e-17,"3","ATXN7"
"AP3M2",7.41754529029235e-22,-0.305718734589232,0.219,0.261,2.7148957516999e-17,"3","AP3M2"
"PCNX1",7.84097107264407e-22,-0.30522679955662,0.228,0.267,2.86987382229846e-17,"3","PCNX1"
"GTF2B.1",3.610688230949e-21,-0.331062618245876,0.354,0.363,1.32154799940964e-16,"3","GTF2B"
"MARCH9",5.61171746018798e-21,-0.25436278389472,0.143,0.189,2.0539447076034e-16,"3","MARCH9"
"FOXN3",8.02628621642712e-21,-0.290831658500529,0.327,0.35,2.93770101807449e-16,"3","FOXN3"
"SNHG12",1.02801147958466e-20,-0.314271958471445,0.273,0.302,3.76262481642782e-16,"3","SNHG12"
"S1PR4",3.10578646744511e-20,-0.284294710734136,0.276,0.306,1.13674890494959e-15,"3","S1PR4"
"ZNF394",7.94691612030931e-20,-0.28335870869173,0.255,0.285,2.90865076919441e-15,"3","ZNF394"
"CRIP1.3",1.33579613934557e-19,-0.3281467304283,0.638,0.617,4.8891474496187e-15,"3","CRIP1"
"FAM117B",1.99618054732216e-19,-0.271123588620111,0.191,0.23,7.30622042125384e-15,"3","FAM117B"
"SVIP",2.09338373148276e-19,-0.256275532968272,0.238,0.276,7.66199379560005e-15,"3","SVIP"
"GIMAP1",7.39320175361709e-19,-0.262125206374259,0.415,0.433,2.70598577384139e-14,"3","GIMAP1"
"TTC3",1.40121423581415e-18,-0.276138818516021,0.496,0.482,5.12858422450339e-14,"3","TTC3"
"ASXL1",1.02196477492505e-17,-0.279739219909606,0.402,0.4,3.74049327270317e-13,"3","ASXL1"
"TAF1D",1.05284736209143e-17,-0.259053426126436,0.556,0.523,3.85352662999086e-13,"3","TAF1D"
"PELI1",1.5448202559196e-17,-0.300080029507676,0.258,0.287,5.65419661869133e-13,"3","PELI1"
"SNRK",2.10566401395489e-17,-0.272673020959568,0.305,0.322,7.70694085747628e-13,"3","SNRK"
"ARRDC3",3.83041711121954e-17,-0.277060808998198,0.173,0.21,1.40197096687746e-12,"3","ARRDC3"
"PCGF5",4.66491444390093e-17,-0.269799724703946,0.25,0.277,1.70740533561218e-12,"3","PCGF5"
"HAUS3",6.32141831847046e-17,-0.277747073224112,0.204,0.236,2.31370231874337e-12,"3","HAUS3"
"ZNF791",8.14692337129196e-17,-0.276162350303582,0.207,0.24,2.98185542312657e-12,"3","ZNF791"
"SLC38A2",8.94366706860262e-17,-0.269769342311348,0.478,0.467,3.27347158377924e-12,"3","SLC38A2"
"HERPUD2",1.67861417150148e-16,-0.280723704747923,0.335,0.343,6.14389572911258e-12,"3","HERPUD2"
"PHF1",3.35486259266723e-16,-0.257208280949899,0.456,0.438,1.22791325754213e-11,"3","PHF1"
"PPM1K",1.34388067803637e-15,-0.258242613948761,0.225,0.256,4.91873766968091e-11,"3","PPM1K"
